"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
20,22,27,"l",6,2,9
20,22,27,"l",5,2,9
20,22,28,"l",4,2,9
20,22,30,"l",3,2,9
20,22,39,"l",2,2,9
20,22,48,"l",1,2,9
21,22,27,"l",180,2,9
21,22,24,"l",179,2,9
21,22,24,"l",178,2,9
21,22,24,"l",177,2,9
21,22,24,"l",176,2,9
21,22,24,"l",175,2,9
21,22,24,"l",174,2,9
21,22,24,"l",173,2,9
21,22,27,"l",172,2,9
21,22,27,"l",171,2,9
21,22,26,"l",170,2,9
21,22,24,"l",169,2,9
21,22,24,"l",168,2,9
21,22,24,"l",167,2,9
21,22,24,"l",166,2,9
21,22,24,"l",165,2,9
21,22,24,"l",164,2,9
21,22,24,"l",163,2,9
21,22,24,"l",162,2,9
21,22,24,"l",161,2,9
21,22,24,"l",160,2,9
21,22,24,"l",159,2,9
21,22,24,"l",158,2,9
21,22,24,"l",157,2,9
21,22,24,"l",156,2,9
21,22,24,"l",155,2,9
21,22,24,"l",154,2,9
21,22,24,"l",153,2,9
21,22,24,"l",152,2,9
21,22,24,"l",151,2,9
21,22,24,"l",150,2,9
21,22,27,"l",149,2,9
21,22,27,"l",148,2,9
21,22,27,"l",147,2,9
21,22,27,"l",146,2,9
21,22,25,"l",145,2,9
21,22,27,"l",144,2,9
21,22,27,"l",143,2,9
21,22,24,"l",142,2,9
21,22,24,"l",141,2,9
21,22,24,"l",140,2,9
21,22,24,"l",139,2,9
21,22,25,"l",138,2,9
21,22,26,"l",137,2,9
21,22,25,"l",136,2,9
21,22,24,"l",135,2,9
21,22,26,"l",134,2,9
21,22,26,"l",133,2,9
21,22,26,"l",132,2,9
21,22,26,"l",131,2,9
21,22,22,"l",130,2,9
21,22,24,"l",129,2,9
21,22,23,"l",128,2,9
21,22,25,"l",127,2,9
21,22,25,"l",126,2,9
21,22,24,"l",125,2,9
21,22,24,"l",124,2,9
21,22,24,"l",123,2,9
21,22,17,"l",122,2,9
21,22,17,"l",121,2,9
21,22,17,"l",120,2,9
21,22,17,"l",119,2,9
21,22,16,"l",118,2,9
21,22,16,"l",117,2,9
21,22,16,"l",116,2,9
21,22,16,"l",115,2,9
21,22,16,"l",114,2,9
21,22,16,"l",113,2,9
21,22,16,"l",112,2,9
21,22,16,"l",111,2,9
21,22,16,"l",110,2,9
21,22,16,"l",109,2,9
21,22,16,"l",108,2,9
21,22,15,"l",107,2,9
21,22,19,"l",106,2,9
21,22,21,"l",105,2,9
21,22,21,"l",104,2,9
21,22,21,"l",103,2,9
21,22,20,"l",102,2,9
21,22,20,"l",101,2,9
21,22,17,"l",100,2,9
21,22,17,"l",99,2,9
21,22,17,"l",98,2,9
21,22,17,"l",97,2,9
21,22,17,"l",96,2,9
21,22,16,"l",95,2,9
21,22,16,"l",94,2,9
21,22,18,"l",93,2,9
